time,gps_x,gps_y,navigation_x,navigation_y,position_error,ai_speed
661.22,-1678.2045254056286,6578.2918602919335,-1678.2045254056286,6578.2918602919335,0.0,25.89
661.32,-1678.2045254056286,6578.2918602919335,-1678.2045254056286,6578.2918602919335,0.0,25.89
661.42,-1678.2045254056286,6578.2918602919335,-1678.2045254056286,6578.2918602919335,0.0,25.89
661.52,-1678.2045254056286,6578.2918602919335,-1678.2045254056286,6578.2918602919335,0.0,25.89
661.62,-1678.2045254056286,6578.2918602919335,-1678.2045254056286,6578.2918602919335,0.0,25.89
661.72,-1678.2045254056286,6578.2918602919335,-1678.2045254056286,6578.2918602919335,0.0,25.89
661.82,-1678.2045254056286,6578.2918602919335,-1678.2045254056286,6578.2918602919335,0.0,25.89
661.92,-1678.2045254056286,6578.2918602919335,-1678.2045254056286,6578.2918602919335,0.0,25.89
662.02,-1694.0219765251773,6598.7517267950225,-1694.0219765251773,6598.7517267950225,0.0,25.71
662.12,-1694.0219765251773,6598.7517267950225,-1694.0219765251773,6598.7517267950225,0.0,25.71
662.22,-1694.0219765251773,6598.7517267950225,-1694.0219765251773,6598.7517267950225,0.0,25.71
662.32,-1694.0219765251773,6598.7517267950225,-1694.0219765251773,6598.7517267950225,0.0,25.71
662.42,-1694.0219765251773,6598.7517267950225,-1694.0219765251773,6598.7517267950225,0.0,25.71
662.519,-1694.0219765251773,6598.7517267950225,-1694.0219765251773,6598.7517267950225,0.0,25.71
662.62,-1694.0219765251773,6598.7517267950225,-1694.0219765251773,6598.7517267950225,0.0,25.71
662.72,-1694.0219765251773,6598.7517267950225,-1694.0219765251773,6598.7517267950225,0.0,25.71
662.82,-1694.0219765251773,6598.7517267950225,-1694.0219765251773,6598.7517267950225,0.0,25.71
662.92,-1694.0219765251773,6598.7517267950225,-1694.0219765251773,6598.7517267950225,0.0,25.71
663.021,-1709.7042357548112,6618.655618663921,-1709.7042357548112,6618.655618663921,0.0,25.66
663.119,-1709.7042357548112,6618.655618663921,-1709.7042357548112,6618.655618663921,0.0,25.66
663.221,-1709.7042357548112,6618.655618663921,-1709.7042357548112,6618.655618663921,0.0,25.66
663.32,-1709.7042357548112,6618.655618663921,-1709.7042357548112,6618.655618663921,0.0,25.66
663.42,-1709.7042357548112,6618.655618663921,-1709.7042357548112,6618.655618663921,0.0,25.66
663.52,-1709.7042357548112,6618.655618663921,-1709.7042357548112,6618.655618663921,0.0,25.66
663.62,-1709.7042357548112,6618.655618663921,-1709.7042357548112,6618.655618663921,0.0,25.66
663.72,-1709.7042357548112,6618.655618663921,-1709.7042357548112,6618.655618663921,0.0,25.66
663.82,-1709.7042357548112,6618.655618663921,-1709.7042357548112,6618.655618663921,0.0,25.66
663.92,-1709.7042357548112,6618.655618663921,-1709.7042357548112,6618.655618663921,0.0,25.66
664.02,-1725.386494984445,6639.004290239855,-1725.386494984445,6639.004290239855,0.0,25.65
664.12,-1725.386494984445,6639.004290239855,-1725.386494984445,6639.004290239855,0.0,25.65
664.22,-1725.386494984445,6639.004290239855,-1725.386494984445,6639.004290239855,0.0,25.65
664.32,-1725.386494984445,6639.004290239855,-1725.386494984445,6639.004290239855,0.0,25.65
664.419,-1725.386494984445,6639.004290239855,-1725.386494984445,6639.004290239855,0.0,25.65
664.52,-1725.386494984445,6639.004290239855,-1725.386494984445,6639.004290239855,0.0,25.65
664.62,-1725.386494984445,6639.004290239855,-1725.386494984445,6639.004290239855,0.0,25.65
664.719,-1725.386494984445,6639.004290239855,-1725.386494984445,6639.004290239855,0.0,25.65
664.82,-1725.386494984445,6639.004290239855,-1725.386494984445,6639.004290239855,0.0,25.65
664.92,-1725.386494984445,6639.004290239855,-1725.386494984445,6639.004290239855,0.0,25.65
665.019,-1740.7307744893005,6659.019377035908,-1740.7307744893005,6659.019377035908,0.0,25.47
665.12,-1740.7307744893005,6659.019377035908,-1740.7307744893005,6659.019377035908,0.0,25.47
665.22,-1740.7307744893005,6659.019377035908,-1740.7307744893005,6659.019377035908,0.0,25.47
665.32,-1740.7307744893005,6659.019377035908,-1740.7307744893005,6659.019377035908,0.0,25.47
665.42,-1740.7307744893005,6659.019377035908,-1740.7307744893005,6659.019377035908,0.0,25.47
665.52,-1740.7307744893005,6659.019377035908,-1740.7307744893005,6659.019377035908,0.0,25.47
665.619,-1740.7307744893005,6659.019377035908,-1740.7307744893005,6659.019377035908,0.0,25.47
665.72,-1740.7307744893005,6659.019377035908,-1740.7307744893005,6659.019377035908,0.0,25.47
665.82,-1740.7307744893005,6659.019377035908,-1740.7307744893005,6659.019377035908,0.0,25.47
665.92,-1740.7307744893005,6659.019377035908,-1740.7307744893005,6659.019377035908,0.0,25.47
666.021,-1755.3990945445983,6679.701633391724,-1755.3990945445983,6679.701633391724,0.0,25.23
666.12,-1755.3990945445983,6679.701633391724,-1755.3990945445983,6679.701633391724,0.0,25.23
666.22,-1755.3990945445983,6679.701633391724,-1755.3990945445983,6679.701633391724,0.0,25.23
666.32,-1755.3990945445983,6679.701633391724,-1755.3990945445983,6679.701633391724,0.0,25.23
666.42,-1755.3990945445983,6679.701633391724,-1755.3990945445983,6679.701633391724,0.0,25.23
666.52,-1755.3990945445983,6679.701633391724,-1755.3990945445983,6679.701633391724,0.0,25.23
666.62,-1755.3990945445983,6679.701633391724,-1755.3990945445983,6679.701633391724,0.0,25.23
666.719,-1755.3990945445983,6679.701633391724,-1755.3990945445983,6679.701633391724,0.0,25.23
666.82,-1755.3990945445983,6679.701633391724,-1755.3990945445983,6679.701633391724,0.0,25.23
666.92,-1755.3990945445983,6679.701633391724,-1755.3990945445983,6679.701633391724,0.0,25.23
667.021,-1768.9858794806248,6700.606279601057,-1768.9858794806248,6700.606279601057,0.0,25.05
667.12,-1768.9858794806248,6700.606279601057,-1768.9858794806248,6700.606279601057,0.0,25.05
667.219,-1768.9858794806248,6700.606279601057,-1768.9858794806248,6700.606279601057,0.0,25.05
667.32,-1768.9858794806248,6700.606279601057,-1768.9858794806248,6700.606279601057,0.0,25.05
667.42,-1768.9858794806248,6700.606279601057,-1768.9858794806248,6700.606279601057,0.0,25.05
667.52,-1768.9858794806248,6700.606279601057,-1768.9858794806248,6700.606279601057,0.0,25.05
667.62,-1768.9858794806248,6700.606279601057,-1768.9858794806248,6700.606279601057,0.0,25.05
667.72,-1768.9858794806248,6700.606279601057,-1768.9858794806248,6700.606279601057,0.0,25.05
667.82,-1768.9858794806248,6700.606279601057,-1768.9858794806248,6700.606279601057,0.0,25.05
667.92,-1768.9858794806248,6700.606279601057,-1768.9858794806248,6700.606279601057,0.0,25.05
